id,serviceType,subscriptionType,bd,location,spending,status,serviceRate,signUpDate
886,Mobile,Economy,1993-02-20,Vinnytsia,300,Active,4,2007-07-18
887,Internet,Business,2013-05-24,Rivne,200,Active,4,2004-01-03
888,Mobile,Economy,2012-09-20,Rivne,300,Inactive,4,2004-07-27
889,Internet,Business,2019-05-12,Zaporizhzhia,200,Active,2,2004-10-04
890,TV,Standard,2008-02-26,Dnipro,50,Active,5,2005-09-23
891,Mobile,Business,1928-01-01,Cherkasy,200,Active,5,2000-05-05
892,Internet,Standard,2013-10-21,Ternopil,300,Potential,4,2005-03-31
893,TV,Economy,2002-04-01,Dnipro,900,Active,4,2006-11-29
894,Internet,Business,1985-10-11,Kharkiv,50,Active,3,2002-01-14
895,Mobile,Economy,2022-08-19,Chernihiv,200,Active,5,2021-01-16
896,Mobile,Economy,1959-11-04,Zhytomyr,50,Inactive,4,2000-11-08
897,Internet,Business,2009-08-16,Sumy,100,Potential,2,2013-03-18
898,TV,Economy,1967-05-01,Kyiv,300,Potential,4,2006-03-06
899,Mobile,Economy,2021-11-30,Kyiv,100,Potential,5,2005-12-23
900,Mobile,Standard,2018-09-10,Rivne,300,Active,4,2011-06-07
901,Mobile,Business,2012-05-05,Mykolaiv,200,Active,3,2009-10-04
902,Mobile,Economy,2011-05-26,Dnipro,100,Active,4,2002-04-27
903,Mobile,Standard,1971-06-18,Zaporizhzhia,200,Active,3,2006-09-10
904,Mobile,Premium,2022-09-11,Zhytomyr,50,Active,4,2000-04-13
905,Mobile,Business,1994-12-12,Khmelnytskyi,500,Active,5,2003-06-01
906,Mobile,Business,2019-02-24,Sumy,50,Active,5,2015-03-17
907,TV,Premium,1975-07-24,Lviv,50,Active,5,2001-10-02
908,Mobile,Standard,1981-09-22,Ivano-Frankivsk,300,Active,4,2000-04-12
909,Mobile,Standard,2004-01-12,Kyiv,900,Active,5,2004-10-15
910,Mobile,Economy,2016-06-15,Zhytomyr,500,Inactive,5,2002-05-27
911,TV,Premium,1995-06-13,Kyiv,100,Active,4,2002-08-13
912,Fixed Line,Special,2018-05-08,Cherkasy,100,Potential,1,2004-10-12
913,Fixed Line,Premium,2017-03-26,Poltava,300,Active,5,2005-04-27
914,Mobile,Economy,1996-01-10,Sumy,500,Active,3,2003-02-24
915,TV,Standard,1928-01-01,Vinnytsia,200,Active,2,2003-11-17
916,Mobile,Standard,1962-04-22,Kyiv,200,Active,3,2027-05-17
917,Mobile,Standard,1998-05-20,Uzhhorod,100,Inactive,4,2017-04-01
918,Internet,Premium,2001-10-30,Dnipro,100,Active,5,2006-09-23
919,TV,Standard,1928-01-01,Odesa,200,Inactive,4,2000-12-18
920,Fixed Line,Economy,2001-04-19,Kropyvnytskyi,100,Active,1,2002-06-11
921,TV,Business,2008-01-31,Zaporizhzhia,100,Active,4,2011-10-02
922,TV,Standard,1957-03-18,Uzhhorod,100,Active,5,2003-01-06
923,Mobile,Economy,2015-09-12,Kharkiv,200,Active,5,2017-01-09
924,Mobile,Economy,2020-03-11,Ternopil,50,Active,4,2003-09-02
925,Mobile,Business,1995-06-24,Ternopil,200,Active,2,2010-11-01
926,TV,Business,2020-03-30,Cherkasy,700,Inactive,4,2000-03-13
927,Mobile,Standard,2010-03-20,Kropyvnytskyi,50,Active,2,2003-02-12
928,TV,Economy,2007-12-02,Kharkiv,300,Active,1,2006-08-06
929,Mobile,Economy,2001-04-16,Uzhhorod,500,Potential,5,2010-11-27
930,Mobile,Economy,1928-01-01,Sumy,200,Active,4,2005-02-24
931,Mobile,Standard,2016-03-01,Dnipro,100,Active,4,2001-01-15
932,Mobile,Standard,2010-02-06,Kharkiv,50,Active,5,2011-11-18
933,TV,Standard,2019-02-13,Kropyvnytskyi,300,Inactive,4,2004-09-06
934,Mobile,Premium,1997-05-22,Kyiv,200,Active,2,2000-08-16
935,Mobile,Economy,1987-05-23,Odesa,100,Active,3,2003-05-31
936,Mobile,Economy,2004-12-27,Kharkiv,500,Potential,3,2006-07-28
937,Mobile,Economy,2015-04-12,Kyiv,300,Inactive,5,2003-04-14
938,Mobile,Economy,1996-06-12,Zhytomyr,100,Active,5,2011-03-16
939,Mobile,Economy,2001-10-17,Odesa,300,Inactive,4,2003-01-07
940,TV,Standard,2017-11-11,Lviv,100,Inactive,2,2004-10-17
941,Mobile,Business,2008-10-03,Mykolaiv,300,Active,2,2001-04-19
942,Mobile,Premium,2007-05-13,Odesa,100,Active,5,2003-12-08
943,Internet,Business,1928-01-01,Cherkasy,300,Inactive,5,2001-05-19
944,Mobile,Standard,1971-03-12,Mykolaiv,100,Active,1,2001-05-25
945,Mobile,Premium,1986-09-16,Sumy,200,Active,5,2001-10-18
946,Internet,Economy,1962-11-15,Sumy,100,Inactive,4,2000-03-31
947,Mobile,Special,1986-08-05,Kyiv,300,Inactive,3,2000-12-22
948,Internet,Economy,1959-01-06,Kyiv,50,Active,2,2003-01-09
949,Mobile,Economy,2021-06-20,Odesa,100,Active,5,2000-10-07
950,Fixed Line,Economy,2006-05-01,Kyiv,100,Active,4,2000-10-13
951,TV,Special,1985-05-21,Kharkiv,50,Active,5,2018-11-01
952,Mobile,Special,1999-01-14,Dnipro,300,Potential,3,2003-01-19
953,Mobile,Premium,2017-09-24,Vinnytsia,900,Active,5,2002-10-31
954,Mobile,Standard,2011-08-10,Odesa,300,Active,2,2001-09-15
955,Mobile,Standard,2012-07-14,Kharkiv,500,Potential,2,2003-12-07
956,TV,Special,2014-09-16,Odesa,50,Active,2,2004-12-18
957,Fixed Line,Standard,2011-07-01,Lviv,100,Active,5,2002-12-19
958,Mobile,Business,2003-03-14,Cherkasy,200,Active,5,2002-09-28
959,Internet,Economy,1970-02-27,Chernihiv,900,Active,3,2006-08-07
960,Mobile,Economy,1985-11-27,Mykolaiv,300,Active,4,2016-05-18
961,Internet,Business,1973-08-18,Zhytomyr,200,Active,5,2011-07-06
962,Fixed Line,Economy,1964-02-13,Uzhhorod,100,Active,3,2000-09-09
963,Internet,Business,2008-04-08,Chernihiv,100,Inactive,5,2005-10-13
964,Mobile,Standard,2011-05-18,Kyiv,200,Active,5,2000-01-15
965,Internet,Business,2021-05-18,Kyiv,300,Active,4,2005-06-28
966,Mobile,Economy,1950-01-01,Mykolaiv,50,Active,4,2003-06-02
967,Internet,Premium,2021-02-20,Lviv,500,Active,5,2003-09-13
968,Mobile,Standard,1986-01-01,Odesa,700,Active,3,2004-11-08
969,Mobile,Standard,2009-12-31,Kyiv,500,Potential,4,2007-06-07
970,Fixed Line,Standard,1941-08-23,Lviv,700,Active,2,2007-02-27
971,TV,Special,2008-02-09,Sumy,50,Active,5,2000-03-31
972,Mobile,Standard,1976-07-25,Odesa,900,Active,5,2007-04-21
973,TV,Economy,2013-11-28,Kharkiv,200,Active,1,2009-09-11
974,Internet,Business,2013-04-10,Kyiv,500,Inactive,4,2000-05-21
975,Fixed Line,Economy,1998-03-22,Chernihiv,100,Potential,3,2002-02-19
976,TV,Economy,1928-01-01,Ivano-Frankivsk,200,Active,5,2008-08-07
977,Mobile,Economy,2003-01-17,Dnipro,50,Inactive,3,2003-09-20
978,TV,Business,1947-08-11,Sumy,50,Active,4,2006-07-02
979,Mobile,Economy,1980-10-04,Lviv,700,Active,3,2003-10-27
980,Mobile,Economy,1979-07-02,Chernihiv,500,Inactive,4,2020-12-14
981,Internet,Business,2007-04-29,Ivano-Frankivsk,200,Active,3,2015-01-25
982,TV,Business,2009-08-16,Kropyvnytskyi,200,Active,3,2001-10-22
983,TV,Economy,2017-03-03,Lviv,300,Active,4,2002-09-02
984,Internet,Premium,1932-01-13,Kyiv,200,Active,4,2003-02-02
985,Internet,Business,1935-04-15,Odesa,300,Active,5,2000-08-08
986,Mobile,Economy,1985-05-14,Kyiv,200,Inactive,5,2002-11-01
987,IoT,Business,2013-05-20,Kyiv,300,Active,4,2008-02-29
988,Mobile,Standard,2015-04-21,Odesa,900,Active,5,2010-04-11
989,Fixed Line,Standard,1928-01-01,Dnipro,200,Active,5,2011-11-24
990,Internet,Standard,2021-02-12,Zhytomyr,200,Active,4,2000-01-30
991,Internet,Standard,1972-03-18,Lviv,700,Inactive,4,2008-07-06
992,Mobile,Economy,2010-12-23,Kropyvnytskyi,700,Potential,5,2003-10-28
993,IoT,Premium,2008-02-22,Mykolaiv,900,Potential,4,2001-04-06
994,Internet,Economy,1974-03-03,Zhytomyr,200,Active,5,2003-10-13
995,TV,Standard,2020-05-27,Khmelnytskyi,200,Potential,2,2010-03-08
996,Mobile,Economy,2011-01-12,Ternopil,100,Active,5,2003-02-13
997,Internet,Business,1939-11-08,Sumy,50,Active,3,2025-06-22
998,Fixed Line,Economy,1990-02-15,Kharkiv,300,Inactive,2,2005-04-01
999,Fixed Line,Standard,1984-07-02,Kharkiv,100,Active,5,2003-09-07
1000,TV,Standard,1984-03-19,Khmelnytskyi,300,Active,5,2001-11-29
1001,Mobile,Premium,2021-04-17,Dnipro,700,Potential,4,2000-01-23
1002,Mobile,Standard,2016-10-13,Kyiv,900,Inactive,4,2005-03-01
1003,Mobile,Premium,2004-07-01,Ternopil,50,Active,3,2004-09-19
1004,Mobile,Economy,2010-06-07,Zaporizhzhia,200,Inactive,1,2003-12-25
1005,IoT,Economy,2008-07-07,Mykolaiv,500,Inactive,3,2004-03-23
1006,Mobile,Standard,1981-05-14,Kyiv,200,Potential,2,2010-02-26
1007,Mobile,Business,2022-08-07,Poltava,500,Active,4,2002-02-01
1008,Mobile,Economy,1993-06-05,Lviv,500,Inactive,5,2004-05-17
1009,Internet,Economy,2022-12-31,Zhytomyr,200,Inactive,2,2006-03-28
1010,Mobile,Economy,2021-03-21,Kyiv,200,Active,2,2001-04-15
1011,Mobile,Standard,2008-08-20,Rivne,200,Active,5,2014-03-03
1012,Mobile,Economy,1972-08-31,Kyiv,300,Active,5,2007-04-26
1013,Mobile,Business,2018-09-18,Kyiv,200,Active,2,2000-04-19
1014,IoT,Economy,2000-11-09,Lviv,300,Potential,2,2010-12-20
1015,Mobile,Economy,1991-12-08,Odesa,700,Active,5,2014-07-20
1016,Internet,Economy,2015-11-12,Poltava,100,Active,4,2008-08-22
1017,IoT,Standard,2003-05-05,Kyiv,900,Inactive,5,2003-01-16
1018,Fixed Line,Standard,1956-08-23,Kharkiv,300,Active,4,2028-05-14
1019,IoT,Economy,2003-05-07,Lviv,500,Active,5,2000-09-22
1020,IoT,Business,2018-04-26,Rivne,100,Active,5,2004-03-18
1021,Mobile,Economy,1995-12-11,Kyiv,100,Active,1,2001-01-08
1022,Internet,Premium,1998-06-12,Odesa,200,Potential,3,2003-03-03
1023,Mobile,Standard,2022-04-03,Poltava,200,Inactive,4,2014-05-13
1024,Mobile,Economy,2020-05-27,Khmelnytskyi,100,Active,2,2008-08-28
1025,TV,Business,2018-05-02,Rivne,500,Potential,1,2008-05-05
1026,Internet,Business,2018-12-28,Zhytomyr,200,Active,2,2002-05-23
1027,Fixed Line,Economy,2014-10-12,Kyiv,900,Active,4,2014-11-27
1028,Fixed Line,Standard,2006-06-06,Rivne,200,Active,4,2002-07-07
1029,Mobile,Economy,2010-04-12,Sumy,100,Potential,2,2000-03-22
1030,TV,Standard,1962-05-29,Zhytomyr,200,Active,5,2005-07-24
1031,Mobile,Economy,1997-01-27,Odesa,900,Active,4,2002-06-19
1032,Mobile,Business,1965-10-26,Khmelnytskyi,200,Active,5,2000-11-29
1033,TV,Economy,2002-07-03,Dnipro,50,Active,5,2014-12-09
1034,Mobile,Economy,2020-06-04,Poltava,700,Potential,5,2005-07-21
1035,Fixed Line,Economy,2005-12-19,Dnipro,100,Active,5,2015-06-15
1036,Internet,Economy,1975-09-29,Dnipro,300,Inactive,4,2004-10-15
1037,Mobile,Standard,2017-02-03,Vinnytsia,200,Active,4,2000-05-11
1038,TV,Economy,2020-05-20,Odesa,200,Inactive,3,2000-03-01
1039,Internet,Premium,2012-01-23,Sumy,100,Inactive,4,2012-08-21
1040,Mobile,Economy,2009-07-09,Poltava,700,Active,3,2000-03-19
1041,Mobile,Premium,2012-12-28,Chernihiv,700,Active,5,2005-03-24
1042,TV,Standard,2019-01-09,Lviv,200,Potential,1,2001-12-08
1043,Mobile,Special,2015-02-04,Kropyvnytskyi,100,Inactive,3,2006-05-16
1044,TV,Special,1991-08-12,Cherkasy,100,Active,3,2001-11-01
1045,Mobile,Business,2009-08-26,Lviv,100,Active,5,2000-03-16
1046,Internet,Premium,1995-08-05,Ternopil,200,Inactive,2,2007-03-09
1047,TV,Economy,2001-12-17,Kyiv,200,Active,5,2002-01-14
1048,Mobile,Premium,2001-03-13,Kyiv,50,Active,2,2004-05-19
1049,Internet,Special,2015-03-07,Kharkiv,200,Potential,5,2008-02-21
1050,Fixed Line,Economy,2002-10-27,Vinnytsia,300,Potential,3,2006-08-23
1051,Fixed Line,Standard,2022-05-08,Lviv,500,Inactive,3,2002-05-07
1052,Internet,Economy,2007-07-13,Odesa,200,Active,5,2007-07-18
1053,Internet,Standard,1999-09-24,Chernivtsi,300,Potential,3,2014-03-26
1054,Fixed Line,Standard,2017-07-03,Odesa,200,Active,3,2005-02-26
1055,TV,Standard,2014-11-20,Kyiv,200,Active,4,2006-08-28
1056,Fixed Line,Standard,2016-03-20,Kropyvnytskyi,300,Active,5,2011-01-01
1057,Mobile,Special,2020-12-31,Odesa,300,Inactive,5,2010-02-28
1058,IoT,Standard,2011-04-20,Chernihiv,200,Active,5,2002-05-16
1059,Mobile,Business,1928-01-01,Lviv,200,Potential,4,2026-03-28
1060,Mobile,Economy,2011-01-17,Vinnytsia,700,Potential,4,2000-02-27
1061,Mobile,Standard,2006-02-08,Dnipro,300,Active,4,2023-08-29
1062,Mobile,Standard,1994-01-07,Kropyvnytskyi,300,Potential,4,2001-07-18
1063,Mobile,Economy,1994-05-18,Kharkiv,300,Potential,3,2003-03-07
1064,Mobile,Economy,1941-01-15,Zaporizhzhia,100,Active,5,2011-10-12
1065,Mobile,Standard,1969-08-24,Chernivtsi,200,Active,3,2001-07-14
1066,Internet,Standard,1979-10-03,Kropyvnytskyi,900,Active,4,2001-05-24
1067,Mobile,Standard,1940-01-29,Kyiv,200,Active,3,2005-08-22
1068,Mobile,Economy,2015-10-27,Mykolaiv,100,Inactive,3,2006-09-10
1069,Mobile,Economy,1996-09-21,Dnipro,300,Active,4,2000-01-15
1070,Mobile,Standard,1963-04-05,Zaporizhzhia,100,Potential,2,2003-04-12
1071,Mobile,Economy,1996-03-18,Dnipro,200,Potential,1,2003-09-05
1072,Internet,Economy,1928-01-01,Dnipro,100,Active,2,2001-09-26
1073,IoT,Economy,2020-02-09,Kyiv,200,Active,3,2004-04-28
1074,TV,Economy,2007-02-28,Zaporizhzhia,300,Active,3,2000-12-01
1075,TV,Economy,1928-01-01,Vinnytsia,200,Active,5,2002-02-20
1076,Mobile,Economy,2009-12-07,Lviv,200,Active,4,2006-11-03
1077,Mobile,Economy,1986-03-03,Vinnytsia,100,Active,4,2011-05-02
1078,Mobile,Standard,2022-02-27,Kropyvnytskyi,200,Active,4,2004-11-15
1079,Fixed Line,Economy,1990-07-04,Uzhhorod,200,Active,5,2000-06-04
1080,Mobile,Standard,1948-04-28,Kharkiv,100,Potential,1,2006-03-21
1081,Internet,Business,2009-10-17,Khmelnytskyi,300,Active,5,2012-06-23
1082,Mobile,Premium,2022-05-31,Zaporizhzhia,300,Active,5,2003-11-04
1083,Mobile,Economy,2022-03-24,Kyiv,100,Active,2,2003-09-23
1084,IoT,Business,1962-01-23,Vinnytsia,50,Active,5,2026-01-19
1085,Fixed Line,Economy,1987-11-27,Lviv,50,Active,1,2005-07-15
1086,TV,Economy,2019-11-30,Ternopil,200,Active,1,2008-12-24
1087,Internet,Special,2021-06-19,Kropyvnytskyi,100,Active,3,2005-09-10
1088,TV,Business,1978-04-09,Dnipro,50,Active,5,2001-05-14
1089,Internet,Standard,1977-07-22,Kharkiv,200,Active,5,2001-10-30
1090,TV,Standard,2019-06-27,Dnipro,900,Active,4,2005-12-31
1091,Mobile,Standard,2013-03-06,Odesa,300,Active,4,2003-05-02
1092,Internet,Economy,1981-07-18,Sumy,500,Inactive,4,2002-11-02
1093,Internet,Economy,2002-08-06,Poltava,100,Active,3,2000-02-15
1094,Mobile,Standard,1937-02-12,Kyiv,50,Active,5,2011-10-24
1095,TV,Business,2005-01-16,Mykolaiv,50,Inactive,4,2011-10-26
1096,IoT,Economy,1992-01-25,Lviv,900,Potential,4,2003-05-20
1097,Mobile,Premium,2003-06-26,Kropyvnytskyi,200,Inactive,4,2006-08-09
1098,Mobile,Economy,1944-08-03,Dnipro,200,Active,5,2001-01-26
1099,Mobile,Standard,2009-01-29,Poltava,200,Active,5,2003-11-02
1100,TV,Standard,2015-11-08,Kyiv,300,Active,2,2003-03-01
1101,Internet,Standard,2012-03-05,Odesa,200,Inactive,4,2005-11-07
1102,Mobile,Economy,1970-07-21,Mykolaiv,200,Inactive,3,2003-06-22
1103,Internet,Standard,2004-02-20,Kharkiv,900,Active,5,2003-10-12
1104,Mobile,Standard,2011-01-11,Zhytomyr,200,Active,4,2001-12-02
1105,Fixed Line,Economy,2001-06-27,Zaporizhzhia,200,Active,2,2000-04-09
1106,Mobile,Economy,2019-02-02,Khmelnytskyi,200,Active,4,2013-08-18
1107,Mobile,Standard,2022-11-09,Kropyvnytskyi,500,Potential,3,2000-01-25
1108,Fixed Line,Standard,2013-12-26,Kharkiv,100,Active,4,2001-10-22
1109,Mobile,Economy,1997-07-28,Vinnytsia,100,Active,3,2003-04-02
1110,Mobile,Standard,1988-12-14,Mykolaiv,300,Inactive,1,2002-02-07
1111,Mobile,Business,1975-01-11,Lviv,200,Active,2,2004-05-24
1112,Mobile,Economy,1951-06-22,Rivne,700,Active,3,2003-05-23
1113,Mobile,Standard,2008-06-16,Zaporizhzhia,300,Active,3,2001-08-13
1114,IoT,Economy,1986-01-25,Ivano-Frankivsk,200,Active,5,2000-07-03
1115,TV,Economy,2020-11-16,Kyiv,50,Active,3,2000-10-22
1116,TV,Economy,2021-05-19,Ternopil,300,Active,1,2003-08-25
1117,TV,Standard,2019-05-09,Odesa,300,Active,5,2010-03-29
1118,Mobile,Business,2006-09-15,Mykolaiv,300,Active,5,2000-07-31
1119,Mobile,Economy,2016-07-03,Kharkiv,100,Active,4,2006-03-11
1120,Mobile,Standard,2013-09-29,Odesa,700,Inactive,3,2008-08-07
1121,TV,Standard,1994-06-05,Chernivtsi,200,Active,5,2001-10-10
1122,Internet,Economy,2010-11-06,Ternopil,100,Active,1,2006-01-15
1123,Mobile,Standard,2000-09-08,Kropyvnytskyi,900,Active,5,2006-05-09
1124,Mobile,Premium,2008-06-11,Dnipro,300,Active,5,2006-09-26
1125,Internet,Business,2017-12-08,Cherkasy,200,Active,4,2012-02-16
1126,Internet,Business,2020-11-23,Poltava,700,Inactive,3,2002-10-13
1127,TV,Economy,2015-08-17,Chernihiv,50,Active,1,2001-07-12
1128,Mobile,Premium,2021-05-17,Kyiv,50,Active,5,2004-04-18
1129,TV,Economy,1996-08-11,Odesa,300,Active,5,2000-05-09
1130,Mobile,Premium,1979-07-09,Zhytomyr,100,Inactive,3,2002-03-23
1131,Fixed Line,Business,2011-08-21,Dnipro,700,Potential,1,2011-10-05
1132,TV,Economy,2009-08-07,Kropyvnytskyi,500,Active,4,2004-02-27
1133,TV,Standard,1976-08-17,Lviv,200,Active,5,2003-02-21
1134,Mobile,Standard,2016-02-09,Kropyvnytskyi,500,Active,5,2001-09-09
1135,Mobile,Premium,2019-07-13,Chernihiv,50,Inactive,2,2001-07-30
1136,Mobile,Economy,2003-12-19,Sumy,200,Active,4,2001-06-23
1137,Mobile,Special,1994-07-23,Dnipro,700,Active,2,2009-09-04
1138,Internet,Standard,1997-12-09,Zhytomyr,500,Active,5,2023-01-02
1139,TV,Economy,1988-09-28,Vinnytsia,200,Active,3,2004-03-10
1140,Mobile,Economy,2021-05-27,Chernihiv,100,Active,5,2000-06-15
1141,Mobile,Premium,2007-09-13,Kyiv,100,Active,2,2007-08-12
1142,Mobile,Economy,2015-07-17,Poltava,200,Inactive,2,2011-06-24
1143,TV,Economy,1984-01-12,Zhytomyr,200,Active,5,2014-08-28
1144,IoT,Standard,1966-07-25,Kyiv,50,Active,5,2005-06-04
1145,Mobile,Standard,2013-12-16,Ivano-Frankivsk,200,Active,3,2003-11-15
1146,Mobile,Standard,2020-04-06,Kyiv,500,Active,4,2005-04-21
1147,Fixed Line,Economy,2015-01-01,Khmelnytskyi,200,Active,4,2000-01-27
1148,Internet,Premium,2019-12-30,Kropyvnytskyi,100,Inactive,5,2005-10-31
1149,Mobile,Special,2012-05-06,Odesa,900,Active,4,2006-10-09
1150,TV,Economy,2001-11-06,Kyiv,100,Inactive,2,2007-01-04
1151,IoT,Premium,1928-01-01,Cherkasy,300,Active,4,2004-07-13
1152,Internet,Business,2009-01-17,Kyiv,100,Active,5,2006-08-05
1153,Internet,Standard,2016-03-13,Kharkiv,200,Active,5,2005-07-29
1154,Mobile,Standard,2018-01-03,Odesa,200,Potential,4,2000-09-02
1155,Internet,Economy,2017-10-20,Kharkiv,200,Active,5,2012-07-08
1156,Mobile,Standard,2017-02-22,Kyiv,200,Active,2,2005-05-03
1157,Mobile,Standard,1983-09-02,Kyiv,100,Active,4,2007-02-15
1158,Mobile,Premium,2021-04-12,Kyiv,200,Active,5,2002-04-19
1159,Mobile,Special,1928-01-01,Poltava,200,Active,2,2013-10-11
1160,Mobile,Economy,2002-10-03,Vinnytsia,100,Active,5,2003-10-28
1161,Internet,Economy,2001-06-27,Lviv,900,Inactive,4,2006-03-22
1162,Internet,Economy,2010-11-21,Cherkasy,500,Active,4,2016-08-24
1163,Internet,Premium,1990-11-30,Zhytomyr,500,Active,3,2013-07-26
1164,Mobile,Economy,2005-07-18,Odesa,300,Potential,3,2005-09-01
1165,Mobile,Standard,2012-01-29,Mykolaiv,100,Active,4,2000-12-28
1166,TV,Economy,2014-07-27,Cherkasy,200,Active,4,2016-06-19
1167,Mobile,Standard,1951-11-06,Kyiv,500,Inactive,3,2022-09-09
1168,IoT,Economy,2013-08-03,Dnipro,50,Active,5,2000-08-06
1169,Mobile,Business,2007-04-22,Kharkiv,200,Active,2,2003-04-11
1170,Internet,Standard,2011-03-12,Ivano-Frankivsk,200,Active,5,2004-05-08
1171,Mobile,Business,2020-07-14,Odesa,100,Active,3,2000-07-12
1172,Internet,Standard,2017-05-15,Kropyvnytskyi,200,Active,4,2001-02-24
1173,TV,Economy,2017-04-01,Chernihiv,900,Active,4,2004-03-23
1174,TV,Economy,1990-08-12,Dnipro,300,Active,4,2018-01-24
1175,IoT,Special,2008-09-18,Kyiv,100,Active,5,2000-02-26
1176,Mobile,Premium,1981-04-20,Lviv,300,Potential,5,2013-05-02
1177,Internet,Economy,1989-03-18,Kharkiv,100,Active,3,2012-07-13
1178,Mobile,Premium,2017-03-01,Kharkiv,300,Inactive,4,2010-08-28
1179,Internet,Standard,2000-05-05,Ternopil,500,Active,4,2002-08-06
1180,Mobile,Economy,1985-10-24,Ivano-Frankivsk,200,Active,5,2003-09-11
1181,TV,Economy,1995-07-22,Lviv,300,Active,5,2002-10-30
1182,TV,Business,1997-11-30,Zaporizhzhia,200,Active,4,2016-02-23
1183,Mobile,Economy,1986-03-01,Kyiv,200,Active,4,2004-01-13
1184,Mobile,Economy,2021-05-27,Dnipro,300,Inactive,3,2000-06-17
1185,Mobile,Economy,1987-01-04,Ternopil,500,Active,5,2001-10-02
1186,Internet,Economy,2014-04-15,Dnipro,300,Active,5,2003-05-24
1187,Mobile,Standard,1999-10-11,Mykolaiv,900,Active,5,2016-10-22
1188,TV,Economy,2015-05-29,Kropyvnytskyi,500,Active,4,2004-08-10
1189,Internet,Economy,1973-01-11,Zaporizhzhia,300,Active,5,2006-07-09
1190,Internet,Business,2005-01-25,Kyiv,500,Inactive,4,2000-07-04
1191,Internet,Economy,1994-10-22,Dnipro,100,Active,4,2011-06-28
1192,Mobile,Economy,1979-09-27,Kyiv,200,Active,3,2004-03-28
1193,TV,Standard,1961-03-19,Zaporizhzhia,200,Active,5,2013-11-30
1194,Internet,Standard,1986-12-11,Mykolaiv,200,Potential,1,2003-03-25
1195,IoT,Business,2018-08-05,Poltava,500,Active,1,2006-04-17
1196,Internet,Economy,1970-03-22,Sumy,50,Active,5,2003-06-26
1197,Fixed Line,Business,1996-08-12,Sumy,100,Active,5,2000-11-03
1198,Mobile,Premium,1997-04-06,Rivne,500,Active,4,2001-09-27
1199,Internet,Premium,1953-05-22,Odesa,50,Inactive,5,2000-05-19
1200,Fixed Line,Economy,2015-03-03,Zhytomyr,100,Active,5,2003-03-06
1201,Fixed Line,Economy,2015-07-04,Cherkasy,200,Inactive,4,2005-09-26
1202,Fixed Line,Standard,2003-04-18,Odesa,300,Active,2,2001-07-12
1203,Mobile,Business,1984-12-14,Kropyvnytskyi,200,Active,5,2003-09-10
1204,IoT,Standard,2006-10-09,Chernivtsi,900,Active,5,2003-05-13
1205,IoT,Economy,1995-06-29,Zaporizhzhia,100,Inactive,4,2004-03-04
1206,Mobile,Economy,2006-07-05,Rivne,500,Active,3,2001-02-12
1207,TV,Standard,1997-03-12,Odesa,100,Active,5,2004-03-07
1208,Mobile,Premium,1975-09-16,Dnipro,100,Inactive,5,2002-06-24
1209,Internet,Economy,2017-07-21,Lviv,200,Active,1,2001-11-04
1210,Mobile,Economy,1990-06-17,Kharkiv,50,Active,2,2004-10-29
1211,IoT,Standard,1980-08-10,Kharkiv,200,Potential,5,2000-11-16
1212,Mobile,Standard,2006-10-12,Lviv,200,Active,1,2012-08-23
1213,Mobile,Premium,2012-04-24,Chernihiv,100,Potential,3,2014-12-15
1214,Mobile,Business,2022-08-18,Kyiv,500,Active,4,2005-12-01
1215,Mobile,Standard,1979-05-02,Kyiv,200,Active,3,2001-12-23
1216,Internet,Economy,2012-02-14,Dnipro,900,Active,3,2005-05-21
1217,Mobile,Standard,2010-11-25,Dnipro,500,Active,4,2005-01-14
1218,Fixed Line,Special,2011-10-17,Odesa,100,Active,3,2002-09-19
1219,IoT,Business,2004-02-04,Lviv,200,Active,5,2001-11-08
1220,TV,Business,1989-10-23,Odesa,300,Potential,4,2001-01-03
1221,TV,Economy,1982-07-17,Kyiv,500,Inactive,3,2001-05-05
1222,Mobile,Premium,2009-05-09,Dnipro,500,Active,3,2005-10-18
1223,Mobile,Business,1993-03-20,Zhytomyr,300,Active,1,2011-11-20
1224,Internet,Standard,1988-01-31,Lviv,50,Active,1,2002-08-30
1225,Mobile,Economy,2013-05-11,Chernihiv,200,Active,5,2000-09-16
1226,TV,Special,2020-03-21,Kyiv,500,Inactive,2,2000-01-26
1227,Mobile,Standard,1961-05-20,Odesa,300,Active,4,2002-11-07
1228,TV,Economy,1992-01-20,Odesa,500,Active,5,2001-06-13
1229,Mobile,Economy,1994-05-29,Khmelnytskyi,300,Active,4,2002-02-17
1230,TV,Standard,2021-05-04,Dnipro,50,Active,3,2001-07-07
1231,Mobile,Standard,1976-05-17,Chernihiv,900,Active,5,2005-12-22
1232,Mobile,Economy,2000-02-23,Zaporizhzhia,700,Active,5,2005-07-28
1233,Fixed Line,Premium,1971-06-12,Kyiv,100,Active,5,2013-04-29
1234,Mobile,Premium,1928-01-01,Khmelnytskyi,100,Active,4,2006-08-03
1235,Fixed Line,Premium,1936-10-16,Odesa,200,Active,5,2000-12-26
1236,Internet,Economy,1969-12-05,Kyiv,300,Inactive,5,2007-08-17
1237,Mobile,Standard,2022-09-13,Odesa,200,Active,4,2001-02-03
1238,TV,Economy,1963-08-13,Odesa,100,Active,4,2004-06-23
1239,Mobile,Economy,2020-11-12,Kyiv,200,Active,2,2000-06-09
